Pig Manure (kg),Kitchen Food Waste (kg),Chicken Litter (kg),Cassava (kg),Bagasse Feed (kg),Energy Grass (kg),Banana Shafts (kg),Alcohol Waste (kg),Municipal Residue (kg),Fish Waste (kg),Water (L),Temperature (C),Humidity (%),C/N Ratio,Digester Temp (C),biogas_production
29.71739949,17.75749606,7.887966762,17.05083238,16.72674948,8.029367556,14.81167086,9.622449257,8.059036235,4.086329158,94.87606831,30.80023471,86.95576049,22.77404166,32.40938893,79.4817
20.1768121,13.46178627,22.99772469,20.9353136,15.84703061,5.229844253,6.766299398,5.739083064,16.18433669,6.3154952,82.68987783,26.47388776,83.40252243,24.59600556,36.58600185,77.67608
31.12190084,19.55862803,4.966546234,5.727356875,15.02330674,10.78036419,7.887306859,3.39257252,13.78155648,6.468814234,76.67040842,31.98251301,82.52881003,22.30873774,37.56429321,74.89177
43.31871614,20.70649286,10.95320416,29.0681288,5.17638651,3.198918258,12.78777742,5.052943077,8.033298921,3.666594842,80.02964456,26.31693329,88.15702011,26.6245815,36.17637181,88.69844
27.61718706,23.1044396,19.6864648,20.52001984,26.75518685,4.907968545,7.936560416,3.735115927,6.880433429,6.613823272,86.70997269,28.42976932,87.53511733,23.43459316,34.66765034,88.5759
39.12135247,16.36953419,14.22303852,11.29260864,25.86639364,7.928570635,7.540709751,4.01447297,8.609536298,10.2785691,84.64452388,30.18774791,77.58395314,30.75468543,37.07058738,89.27478
26.30904347,22.64010744,14.89624323,17.10687955,16.06275502,11.86773529,6.812464404,4.072528764,11.51880605,3.528486745,133.9933785,31.39439276,76.83526245,25.76008924,37.92822687,84.58042
18.13469557,18.72095636,21.52711768,19.61647003,17.94611576,10.22907844,6.947088625,2.473744569,15.39968679,6.501567731,114.438369,28.86238624,91.9274932,23.57188597,34.13521085,82.55417
14.01119384,21.98749144,8.720520078,19.33098063,16.13482373,9.962819699,5.730072193,6.753585271,27.52695871,8.112060713,92.91897307,33.29172424,63.19487667,26.77564617,36.65442415,82.26657
24.38491574,21.89132034,4.148170319,21.99973727,15.4143167,5.21328363,9.778442532,6.350517095,3.411318506,5.387044378,134.0292816,31.75227043,79.62067133,22.14358251,39.17515034,73.90248
12.73890018,15.02141509,17.2154839,19.35065968,14.56116799,8.719648316,12.78615335,7.026649724,6.042787692,6.214561989,103.8934251,28.13932026,72.21807056,30.4128052,36.27743694,67.355576
30.80806455,21.81953126,14.33696727,27.50799605,5.819847521,7.761618494,6.578182203,4.700525715,10.5420902,6.591878466,135.8147193,34.07468299,82.42647175,25.06283561,37.74235042,89.0621
22.23708785,29.33434909,10.91049056,10.99325387,7.436042477,3.624676904,6.232451362,2.609778349,12.00403862,6.306204097,133.0795996,26.88664741,63.80284891,25.79655968,36.55755698,73.82902
33.05630268,23.3371478,3.017913855,6.112324659,0.446001435,6.524176353,4.446781805,5.286227023,18.83488417,7.782565206,85.04228341,30.91571574,78.16774079,26.50840025,37.41109294,75.00116
38.9081508,12.00503481,17.79721337,25.63378513,15.13015214,7.83894593,8.158308986,3.381370848,16.14198075,3.451329725,86.9955409,28.33159702,73.32625513,24.11522761,35.82691998,90.96815
13.12135803,30.44845655,16.37583578,2.021291264,3.134427072,14.64331182,9.060554125,5.663742905,15.7510767,7.542235548,153.5586254,25.92909291,86.70450752,20.03778036,35.21270083,73.10286
28.75857223,23.69518486,14.36633386,24.12830871,15.06973755,11.28763963,11.46297387,5.286744467,9.476718003,6.216147798,135.3890618,29.06728883,79.89858351,22.93899345,34.29127104,89.887665
26.37333141,21.75101503,10.32296621,17.37459809,28.39079108,8.636824953,8.59129116,4.944664651,13.43073773,5.200638046,69.05839472,26.46078735,70.25980844,27.38122427,34.06493206,82.86841
12.27704088,15.29024542,10.43880761,17.70867107,9.992012627,6.789314601,8.52670298,7.061926778,18.50652968,5.047147952,104.2114276,32.88165818,87.65868551,28.46360968,36.2591657,68.61125
25.69694127,7.334724962,17.05742203,20.731614,16.76962402,14.98262998,0.130808316,5.174784803,20.1061986,7.716998195,144.4073613,23.45329353,58.25294845,25.34169016,33.74229821,81.64
15.99028567,15.91456827,16.84708457,24.36162968,7.94116441,5.438965867,13.72221851,6.416544112,9.815016473,10.18002798,113.3880682,35.70680194,74.66037039,23.67293564,37.57865347,77.33941
26.70096379,11.10882555,1.690997223,24.38787749,15.83037022,4.865800999,4.773200739,6.429520327,7.125367302,11.01136622,103.8761384,32.05196322,74.83549448,26.03215039,36.73215701,70.74846
29.27633696,17.05363007,12.78601815,15.24018682,11.71199786,12.11109487,7.701832602,7.407092256,20.5540219,5.988979887,108.1263832,32.98314411,57.11256847,20.54229482,37.65787201,86.51066
27.69058215,21.24586446,8.348245504,17.94061344,17.92454402,5.576266109,6.168344972,3.699031914,14.12517797,6.07990144,101.8222052,31.6763695,82.78639793,32.81359515,32.32040838,82.059814
15.91479267,38.36920307,2.964579046,16.80428782,20.72795542,5.861765545,6.607087919,6.304128572,8.370737192,6.816273347,110.2795925,28.2062783,82.44846921,23.21824461,37.49995404,77.56822
24.65467031,0.480110004,11.72278138,34.27334766,12.09993102,7.28107335,4.192839103,4.946124981,15.08990378,7.105481156,86.76439568,26.82883971,77.93767278,24.8980994,34.9993754,71.683945
17.33865443,24.67093939,14.79814151,21.85244711,13.29701912,11.50546329,6.322109934,0.984794403,3.464822123,5.769058611,71.68298041,29.60723225,86.24269673,25.28043005,33.53920358,70.92606
11.01345325,20.08504446,7.410128493,35.0247434,12.27995781,7.463319604,13.39348061,4.786836462,11.29723823,11.54300218,95.75208331,28.84307637,85.76861076,20.79803757,32.63715576,75.51857
24.75903274,15.83512031,16.06142424,26.35733133,11.10631163,18.00882542,4.851566887,3.466248666,9.029569365,6.676801658,121.3115634,30.46347376,86.70649799,27.37536801,35.44316578,81.92152
10.63563999,19.81344361,13.80577406,23.20720401,13.27980216,9.991754334,1.274597857,4.422730921,10.4228157,6.632040218,106.1476071,33.06351711,73.19420702,18.71867969,40.65906672,71.642075
21.27993965,15.48934775,7.052362134,15.3409411,23.11495885,13.63391971,10.3028461,4.983281658,9.514189832,6.219998067,107.8870675,30.22846644,75.65749403,23.38778914,36.74331351,72.159195
42.66246968,0.860851636,12.84267473,16.25363592,10.77338116,14.03021137,3.850480098,3.860299574,12.03971217,6.816600175,66.93170641,24.55556457,67.45869192,28.04064641,33.76139676,74.943214
36.65629188,11.513851,10.45360415,17.36055546,7.432576367,9.523047468,6.503054026,3.300410226,13.54944071,5.529313131,118.0232399,28.42038773,67.05210111,27.62653997,35.98288856,77.744774
36.92347907,13.70754331,12.71668572,30.30549409,13.76180868,12.04909655,0.522520776,0.076132831,8.559976009,9.296320047,139.0336782,30.61046169,66.97986846,26.55870051,33.99006755,91.05356
12.4703949,29.60707093,10.32556432,15.23369945,20.96899478,12.06412573,12.29671968,6.193022021,2.506154635,6.19363193,103.0721847,32.87455733,74.32616803,21.69651014,37.51930861,74.49812
38.70491122,20.86653945,0.075150598,26.72155091,21.41127257,9.86278316,11.69942718,7.347093845,9.797046676,4.476526327,99.92230471,30.21704164,81.19350736,18.72952068,35.09854511,90.83258
24.0546098,25.156152,10.44262088,24.53071874,4.390281153,4.5445299,5.444282741,5.75268487,7.12883223,9.116670907,85.99875129,33.83351983,63.27276929,21.98994254,32.89471987,78.007164
53.19894607,19.30004085,10.42506509,21.5763032,11.22831272,10.41434883,9.261413186,2.440666137,22.47369118,5.181296366,90.39766855,30.70270377,83.6855634,23.28080298,34.53426127,106.536224
15.61917774,17.34995591,16.13327016,19.74529876,19.8581904,9.470550093,1.897016263,8.596857553,20.34588763,7.113715987,94.62364675,32.40356811,101.8776099,21.23593411,37.03037012,82.35509
13.20385924,13.83147695,10.77071057,9.271996663,12.54374972,11.97340524,10.06408457,9.513081049,9.459312836,4.678727778,82.05956036,31.47520036,71.11862426,28.49975639,37.14743822,60.54453
38.96058161,24.10443017,15.50961729,19.83498345,10.80372617,8.658916377,7.603603698,7.429777892,14.48441847,6.482649372,102.124894,28.70270771,72.14065487,20.30521554,36.79047329,95.34771
33.70714288,13.6368283,20.88365312,28.50159719,19.91018011,12.99370215,5.867320406,7.650290921,12.53458944,7.750738201,102.340344,28.4787326,67.78079726,24.96337717,35.9112223,95.832565
4.513614076,9.633431532,11.55691037,27.63176043,11.12056798,10.68014378,8.880394462,6.06182858,8.960065818,4.036774608,109.2518763,26.42795589,79.30390491,25.48032208,35.76194891,57.68874
39.77960261,18.1736966,5.364515509,22.15122188,13.73403817,8.068023033,8.830768519,6.16461798,4.395012962,3.599342258,108.1145862,30.09138177,90.22925975,27.77931089,37.65866758,82.21715
19.12431482,26.55422023,10.15891167,35.37509584,7.119984312,1.351741587,9.703477578,5.382096155,6.634833899,4.079434537,92.60123867,23.95565831,62.96645676,24.03063947,37.5884192,74.67641
32.70500614,23.49290424,11.59561417,12.22429619,8.386917545,8.591052513,4.488670197,4.121520997,10.3084731,7.25541177,62.56356002,27.44472482,64.83411873,24.30574449,35.69126616,78.012375
29.33169039,28.21242906,26.71286928,13.85969313,2.774822338,11.09484653,9.8743697,6.746316944,17.03802397,5.013275525,110.8169728,35.1398094,77.50730013,21.86593941,32.56145282,97.39258
10.08824327,6.006925511,10.40872818,7.723631426,6.853333889,7.668113191,6.174138284,5.802373319,6.651631604,3.613471388,158.0911083,27.1178941,70.96982655,18.26129656,37.57851788,50.26931
28.54395454,16.23498284,11.64214247,17.25308919,22.96885804,17.05346375,9.871693893,3.626358051,13.65454538,5.477661591,105.017656,29.88562721,75.53848232,30.66215371,32.90767931,85.680145
12.96226362,2.595180683,16.41858118,8.645660079,17.97711735,4.016787447,4.602569952,1.362503739,10.49158967,10.03102603,90.45297305,30.3738121,66.35294011,24.85292087,36.3957301,57.769695
46.74143979,14.65944371,12.06953118,15.66683889,16.49300898,10.42515998,7.59204906,4.588694949,10.44973854,7.003744183,98.21235287,25.38638526,52.61438243,22.2303773,37.89782841,89.44037
15.78668229,11.81107578,20.60049385,22.57795423,20.38391643,13.86468194,12.57133669,2.387042001,6.293344337,5.263229169,104.4530291,27.37170056,99.77201236,23.45049233,31.65932697,74.858536
26.84661932,20.98214384,9.778569284,30.40277398,17.8526184,9.849891103,10.88134734,2.369005261,15.84430764,3.569268409,72.70481986,28.58429041,67.98872512,27.08524869,35.793864,86.33208
28.51730431,3.42811637,5.904774954,19.07678348,13.06577062,2.389449616,8.258917362,4.575879817,17.53317572,5.281084223,108.6756121,29.55070617,80.82061906,27.09704983,32.82707833,68.93559
33.13045168,15.22956984,17.45190786,24.32103013,21.09796479,4.695468008,4.548697716,5.043960966,20.79661072,5.414357931,94.05760931,28.28037387,71.29341861,21.16601204,31.04531018,93.44464
23.03794621,11.12169789,9.919747832,29.42866309,19.8878609,14.91689419,7.298738552,8.755683645,17.64101532,4.459885195,116.776799,26.29380827,57.47302985,21.98823699,36.64104008,82.573685
22.44695798,12.90299394,8.003801675,17.21371746,16.87615781,4.338322202,8.135809687,5.021675017,5.980342166,5.846753612,81.54329321,28.78797174,68.38119792,22.61673924,36.99921573,63.396
16.46562527,21.36316716,16.65657904,10.20073135,17.02047208,5.725891876,2.544334314,7.701798074,13.35592116,5.401483941,120.4951687,26.32998311,59.12401887,23.13144794,35.67013516,71.33508
19.31584794,15.61674394,9.258993396,29.1216947,19.82709689,6.146976855,3.670625885,5.435948741,8.3161026,3.275544787,144.1769829,31.24003202,73.71016422,25.54966229,33.4783682,75.51687
23.969857,28.26521156,11.96519234,30.02993514,21.79590227,20.04678292,10.70187882,7.857478681,6.508330876,3.231713266,44.41976602,25.42667999,62.64348775,20.75900694,38.22464839,89.931335
28.77623518,26.66116071,12.01163223,11.81093451,7.279219758,7.837433074,5.950254103,6.665059602,12.27639316,4.192647321,40.59084298,34.53698259,72.78350074,27.77021665,40.53990833,79.51973
16.916897,13.18949113,12.65512565,22.23511028,10.09276073,8.775184325,10.98178346,3.26324579,4.141441061,6.190243539,60.37943728,34.43265106,84.50349236,28.93601023,39.00763809,65.64019
24.32033332,15.37473496,13.75345627,23.54252802,8.389362811,13.35281603,4.514241446,5.209044881,4.654670066,5.570624729,66.43627654,26.86915153,74.21444926,25.57451444,36.44539919,69.4908
31.90904408,18.91763968,11.36222563,23.79222395,18.94911265,12.71397277,8.344977125,5.705199747,12.09707208,9.432660561,147.8668625,27.24599227,61.57467487,22.55291638,33.24180621,91.97728
15.09940521,19.45409507,4.470092217,17.69632584,13.85682663,6.186935854,5.637489379,5.757215222,12.88234769,2.375335309,137.9241472,26.62790179,71.34438447,19.97854029,34.96080122,64.50863
31.89987485,25.55813013,28.25275192,24.48089517,19.91892619,6.757709262,4.225130865,4.427878966,10.18457781,3.627940103,109.3395834,28.54036869,64.6285586,26.92522966,34.32716439,99.72229
31.49539775,20.09427753,10.78211064,28.78194231,10.06577986,13.8506209,10.1490839,2.96316039,5.348895035,2.692656105,75.88497404,27.37636652,83.53327435,25.33986435,34.15101024,80.85832
40.06979584,11.9600745,13.43126155,31.12733005,19.67727919,14.27805974,10.82295811,9.894946833,16.0633909,4.383849817,114.4510725,28.97165937,65.02380234,25.23826248,32.49634793,101.01842
23.75649309,16.29813047,14.87588611,35.21608405,7.656038094,7.357737237,8.023254697,4.835275612,15.69213938,7.561646509,91.99755678,28.31739127,79.74883793,29.60434413,35.54834754,83.747086
36.63793704,14.50634022,16.10682823,14.51404739,10.17900885,3.863254094,7.5040029,6.630198676,6.889715794,5.746525794,124.8577861,32.68038689,64.37724212,26.31806823,38.11369556,81.37005
16.33236367,16.20292424,16.64531446,23.62853861,16.40178476,9.244850239,8.860182695,4.020389689,19.35008242,8.210407515,92.78081963,35.75529917,77.90164687,23.59560032,37.78069245,83.588646
43.87580746,20.03926998,10.97396498,19.05488742,11.22588687,12.62532042,13.07689228,4.760839391,6.9445036,10.66409093,122.6387496,27.48518431,79.84627179,28.24253022,32.42011994,94.17766
19.58780601,13.69706406,11.9108176,8.624896374,19.7844766,7.902274334,8.435905724,3.272267175,5.379451372,7.406045025,71.16762237,26.39906825,70.98808888,28.43032753,34.07748928,61.817356
24.35528902,34.21805068,10.47559694,9.535036807,4.327827981,7.362630099,10.63677825,3.664492379,11.41771508,9.907511303,102.239706,27.14317059,77.25617816,23.5492908,35.21860561,80.04445
20.65466542,11.52511365,12.0746192,24.55876482,12.8818669,16.21779418,5.059444404,3.180650533,3.098942001,8.080123886,45.18331728,31.29873439,74.20904135,25.14583809,35.74941832,67.90028
27.37861672,19.30158281,19.43078823,6.76872591,28.86281657,5.102818897,12.41575841,2.616123906,9.600111315,5.076559125,65.75138816,30.750791,80.81189604,23.91201226,36.08604304,82.09181
14.58819703,0.11150366,13.65139265,19.92132555,3.566901748,4.592891133,11.04679936,4.484525463,6.421290162,6.988138719,125.0184378,32.41776294,72.43382527,26.73257641,32.93047866,57.4225
41.31381197,27.59167431,8.818928637,5.883032933,25.46152577,5.07483731,6.747237848,2.574615467,12.38863116,4.791417621,93.98106678,26.02864562,59.23364317,24.26551527,37.6299995,90.02167
1.108269468,5.768185911,10.32641269,12.66540317,12.22369223,8.490238167,13.38329114,4.388714481,8.94902975,10.46434226,122.1085825,35.39043375,93.05225691,24.32297888,34.80392778,55.66689
14.16231258,18.4500407,14.11227599,28.45371188,5.155725894,14.94748988,1.878564588,7.136859069,5.536280494,7.359340831,117.026768,34.81849637,62.71994769,21.27640986,37.4290823,74.5592
16.42952656,11.81812765,14.49383809,14.17756476,24.506688,5.277147189,2.502974275,4.083938706,2.093009523,5.915462008,140.6018418,27.86305766,82.88105314,25.05330493,38.45279062,65.223236
34.65302499,8.338833495,17.31674179,21.77042941,14.45232144,12.03000317,6.95676524,2.594148888,14.74330384,7.480011501,105.3393956,27.26108223,68.47362354,23.78674482,36.32679812,85.209236
36.60104516,10.01521903,2.344178431,12.0023526,20.96110517,6.285757441,11.39020365,3.262602773,7.516828869,5.42786215,63.76890999,30.17822474,71.97403647,25.59096168,35.10934203,71.897804
36.09731002,38.11069634,9.839732605,20.09009394,15.37699776,8.284477984,9.903297082,1.546130921,7.419774806,5.288683151,89.07782515,28.54559932,75.03828141,24.02822813,33.36554475,95.703064
21.26212155,21.06786183,25.02998311,9.467977227,2.279306154,17.06861803,3.032665361,4.255348963,18.0688352,7.343597608,98.2688951,26.22707213,67.02641724,27.58629945,35.74675811,79.52823
20.00250654,12.68874552,9.0340465,27.5639505,10.57740739,7.188882756,6.123214619,7.375249518,5.383883608,3.516369408,170.7525222,38.55529356,84.52484268,25.91264645,35.44502268,75.20476
31.67989976,20.49938,10.58161827,23.3474594,13.90651662,10.80303326,6.540780002,4.998751542,9.52060718,5.755051429,24.91339248,29.43626006,71.6533407,25.74282427,33.7196959,80.895996
20.78428549,4.151877349,5.672363399,12.3431627,14.97529925,10.54393527,3.959250456,4.950556699,17.40548089,9.723372499,147.8756348,28.21254677,82.97139357,27.95707343,36.09548891,65.35989
15.10372833,24.98766233,11.89691464,18.82848567,17.06702915,9.534528878,5.104552598,5.576311597,11.77353679,7.908746085,83.56288106,33.1510723,66.97447773,27.06766509,39.08749098,76.69101
13.33102011,19.07936114,5.908350671,11.04036198,15.11225931,8.188555033,10.92753206,3.133130451,10.06935533,5.258621872,82.70965706,32.57527135,83.75543757,24.1876113,35.41141954,61.772625
39.82220399,20.00315885,5.489423542,29.83288668,15.19625469,3.503847218,1.086718474,7.508439613,19.21240972,5.028234585,68.67497039,30.2857952,77.17632004,24.45026212,36.73161913,93.55667
27.39597422,19.20452116,10.85384239,21.32104278,20.29018948,4.107505849,6.823882754,6.198472267,15.26056608,1.558394688,128.5403709,29.95620882,85.42627036,24.24755179,36.02382698,83.66878
20.50943143,23.20863568,13.17938728,19.03724681,20.13798813,9.836584003,9.095608841,4.043881484,5.844850317,6.246180247,100.7886993,29.80093741,69.26773425,27.15208556,37.23501684,77.04576
16.09535506,3.271420718,8.81554272,24.55056575,6.733568178,15.92063444,12.0204667,5.074899424,4.345039683,10.66534995,47.00221278,27.8053361,86.01877961,24.12754846,39.44671475,59.443367
29.39001703,14.47689066,9.307163467,30.76018346,19.77389288,3.904064299,10.41909238,5.052898151,12.36179002,7.583927536,125.1266709,35.07494784,91.22500331,26.37309817,35.3767967,89.15625
11.99161417,24.79840394,9.724238313,34.96168014,19.7985144,9.129980808,8.192075737,4.046052634,10.63624494,6.275515776,133.2747987,37.01807869,74.18528441,26.70216131,35.53766377,85.602234
19.54205958,21.1465468,14.32968527,17.68221518,8.323772595,8.422130177,8.149774833,2.002261162,7.865881102,4.622055582,119.4717694,34.27020166,80.97803556,26.19141147,32.88660157,72.44917
52.30658691,13.8886362,21.63221279,13.70728432,12.47556894,6.430623388,4.64492197,2.299743445,8.913646308,3.090486117,80.27166628,26.17817608,86.66478021,27.49141319,36.63887645,91.21898
24.39254279,16.92312419,12.9586339,12.69787064,19.0937758,15.66626678,4.363649695,4.266837643,23.69404668,3.328291958,163.8906426,28.44774431,69.08434124,22.9720708,36.48144625,85.67189
16.62569451,18.15030371,1.15696977,27.13715311,26.58415572,10.23156865,7.380829595,8.024298307,18.86991949,5.881626319,144.0460892,32.96068686,89.97382852,26.54098924,35.180384,82.779495
38.42821615,18.47798977,9.765894786,22.75553793,9.132571077,5.232957216,10.28036799,4.637514312,11.6208174,8.79371098,104.2861005,29.10253914,68.60433615,23.9701942,37.4275146,87.511536
9.635537396,19.98140466,6.295019626,13.35026213,23.3956346,12.30701884,10.87264457,1.454481377,14.84646315,3.673091252,75.79210594,30.4071686,82.70493603,22.4265494,34.44928003,66.33713
32.76935206,19.77931244,5.807034737,10.31227833,7.313113923,12.0150771,13.56282852,5.312249142,13.2014182,5.07428941,151.4588089,31.26085445,77.78099536,26.90008407,36.35159572,79.65213
36.11217719,18.45601557,14.86375195,26.18011048,21.86152327,10.2471629,11.31707935,4.346933975,16.71134521,9.015214204,112.7729913,31.66146525,80.35408919,24.73741302,32.53928766,102.51814
8.633598544,8.386700706,13.72870604,24.62777089,7.631030002,7.712697609,8.238952698,4.087463678,13.54697792,9.073128263,117.0547297,28.80865775,75.89955764,23.38891153,38.83600215,61.201206
33.7161816,19.77234058,16.44924622,11.96246722,26.0573764,10.52664157,4.22145872,2.969768963,17.04745046,2.955501325,152.4577761,32.97573302,74.88946564,24.21798813,39.4443441,95.38277
15.56319566,10.50387071,13.40526709,31.68312431,9.79765994,9.327105226,11.22993756,8.551013612,10.79193893,2.548933522,104.5071249,30.37001896,83.98501414,28.14010557,35.78499661,70.8821
23.33269323,20.88726227,17.14061325,20.2194513,13.36542064,0.849269753,4.291932879,8.036785783,11.58251245,5.312905105,79.08692783,37.79065066,64.40497475,30.21618996,33.11728834,82.23488
39.64920398,25.73337969,11.6271534,28.63179177,6.129362222,9.007960785,12.08754223,6.627912256,12.03182606,3.725341815,57.11715898,27.81134705,77.82436867,24.45954004,37.85962521,93.06446
31.68626205,15.50032319,13.66965645,14.96648262,16.55831801,1.457326551,15.8039433,3.15232054,6.06071144,4.658227165,69.36374857,28.38673577,77.53073926,27.16563143,36.97346075,74.632706
13.6320171,15.90336416,13.583431,12.24771477,6.681477399,13.33241907,5.585402277,5.393810641,6.340645659,10.51414741,109.7986158,31.50539732,78.0372885,28.71163196,35.4630064,62.59221
19.15886186,18.77465229,10.19242889,28.75045871,14.4533382,10.19462264,6.472757685,6.576190838,12.66860238,7.124930507,101.2167334,27.4367458,77.23980556,26.58019015,35.3965179,76.43587
30.08763964,3.983692381,14.23142751,29.49583498,8.27070075,8.684093215,6.768637663,7.431911689,13.51662483,4.406709861,104.8011147,32.0212762,80.23792919,22.92080588,38.71164038,78.37883
27.28068634,12.41412684,8.052610738,13.70671032,14.32892806,9.734499774,9.825056477,5.130688521,10.50867863,5.486818669,111.863238,28.66957616,61.14809374,25.08695123,33.51111822,69.5697
28.25714903,26.95804412,12.52952352,19.43244465,10.79382972,6.911133955,8.562620618,2.581892215,6.602058547,4.85379541,62.00641783,31.99215017,81.30652895,21.21010837,35.92284326,79.46492
23.64143847,11.33223593,7.148741535,7.432695662,27.60422761,11.80611024,6.18694826,5.556270335,8.417344562,9.839192293,87.76164631,33.03357469,88.18384541,23.51357681,37.01523878,70.185555
27.46299921,12.87548302,8.468074404,18.29832628,18.61357884,15.68369181,11.40733516,3.017341426,3.541401558,7.802735656,116.2121133,31.16303736,80.25103043,24.25909663,32.24198126,74.28493
27.63771733,34.14945887,7.622081859,18.02495929,23.36121317,10.52970933,13.02332734,7.901231676,20.6315041,6.078092555,153.8438781,26.05177206,70.38020134,20.14681435,34.44580581,100.05444
27.81284532,13.46854841,9.977715071,25.51423964,16.19076958,10.17688223,7.887054393,2.188391422,18.7137499,4.279384179,96.1835695,27.74980897,61.52368063,24.60891211,37.4759113,81.24481
37.46952578,29.99326998,12.12233088,22.4523273,21.14420561,10.10783156,14.07285101,3.573156675,8.934232549,7.478870085,118.6631032,31.07385425,77.41885347,23.55662521,38.41416398,102.64353
26.51524266,28.57467365,8.698239013,36.97045591,13.13881033,14.7779808,8.412113597,3.456310402,14.50610969,8.738876741,84.65370642,25.35064908,92.67311612,20.11062766,36.53164528,93.675934
26.28703937,9.79527746,12.38117038,17.86608644,11.7647225,7.663408854,12.65163908,0.744756603,17.90695074,5.459333763,75.17359204,31.58938576,81.16934648,24.15109777,37.52825349,76.07836
28.45408701,11.86179112,4.438697606,38.55947681,24.11110447,9.544329312,8.662336824,6.851048837,11.30352852,5.456753942,157.3853356,28.43767343,80.65384576,24.88139325,34.91977603,88.19775
21.66080902,20.27168906,13.47520621,16.57501952,18.26608193,15.15109331,10.10427095,2.354028129,10.77832295,3.784908825,82.25136137,28.11568197,81.56569997,19.1697027,36.02966466,75.930336
19.22931519,28.21599831,13.44858734,21.58747231,3.534269792,12.59468069,4.612777345,7.586775929,13.70639161,8.899307214,119.8504745,32.73484197,86.93772425,23.58449646,40.44780685,82.61519
34.67669266,15.17579494,19.41287489,21.50823968,17.03827565,2.443025361,6.692134689,5.625962217,12.88089797,6.213953798,155.2848992,26.55194504,74.80300292,23.00700115,35.34069495,90.132355
21.03365865,18.64946465,10.30384123,30.69393495,8.269968246,11.14514347,4.470424563,8.212824605,7.603842105,3.915474342,110.4393286,32.46276727,64.09205178,23.81365313,34.98338394,76.71373
